name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,65000.0,,RUR,Челябинск,2022-12-05T10:08:57+0300
Монтажник оборудования связи,45000.0,,RUR,Уфа,2022-12-05T08:11:39+0300
.Net Developer (Vietnam),2500.0,,USD,Москва,2022-12-05T06:52:04+0300
Менеджер проекта,158000.0,335000.0,RUR,Уфа,2022-12-05T08:54:18+0300
Механик по эксплуатации техники,51500.0,51500.0,RUR,Севастополь,2022-12-05T10:19:27+0300
Консультант 1С ТОиР,75000.0,150000.0,RUR,Уфа,2022-12-05T10:18:06+0300
Помощник системного администратора,,50000.0,RUR,Москва,2022-12-05T11:35:24+0300
Главный специалист-эксперт,36000.0,52000.0,RUR,Владивосток,2022-12-05T09:47:02+0300
Программист периферийных устройств (на С/C++),50000.0,120000.0,RUR,Владивосток,2022-12-05T01:36:24+0300
"Наладчик - оператор станка с ЧПУ (лазерная резка металла, оператор листогибочного станка)",50000.0,,RUR,Пермь,2022-12-05T10:39:08+0300
Станочник широкого профиля 5 разряда,124000.0,138000.0,RUR,Иркутск,2022-12-05T08:43:03+0300
Механик,40000.0,,RUR,Красноярск,2022-12-05T06:08:08+0300
Оператор станков с ЧПУ,120000.0,,RUR,Пермь,2022-12-05T09:47:11+0300
Автор текстов на тему беттинга (ставок),50000.0,70000.0,RUR,Москва,2022-12-05T09:16:32+0300
Менеджер проекта,158000.0,335000.0,RUR,Кострома,2022-12-05T08:56:06+0300
Визуализатор/3D-моделлер,40000.0,200000.0,RUR,Тверь,2022-12-05T09:31:57+0300
Станочник широкого профиля 5 разряда,124000.0,138000.0,RUR,Красноярск,2022-12-05T08:43:51+0300
Рабочий по комплексному обслуживанию зданий,21000.0,,RUR,Красноярск,2022-12-05T04:31:41+0300
Механизатор импортной сельхозтехники (категории DF),60000.0,150000.0,RUR,Барнаул,2022-12-05T10:38:28+0300
Менеджер проекта,158000.0,335000.0,RUR,Нижний Новгород,2022-12-05T08:54:27+0300
Инженер по подключениям,65000.0,85000.0,RUR,Казань,2022-12-05T09:43:03+0300
Менеджер по развитию продукта,220000.0,300000.0,RUR,Москва,2022-12-05T11:28:18+0300
Middle .NET Backend Developer,,3000.0,USD,Минск,2022-12-05T11:15:15+0300
Аналитик (метро Мякинино),50000.0,80000.0,RUR,Москва,2022-12-05T10:17:51+0300
Инженер по информационной безопасности,80000.0,120000.0,RUR,Екатеринбург,2022-12-05T08:09:03+0300
